Pathway,Metabolite
Pentose and glucuronate interconversions,D-Lyxose
Pentose and glucuronate interconversions,D-Xylonate
Pentose and glucuronate interconversions,L-Ribulose
Pentose and glucuronate interconversions,D-Mannonate
Pentose and glucuronate interconversions,L-Arabitol
Pentose and glucuronate interconversions,D-Tagaturonate
Pentose and glucuronate interconversions,3-Dehydro-L-gulonate
Pentose and glucuronate interconversions,Pectin
Pentose and glucuronate interconversions,CDP-ribitol
Pentose and glucuronate interconversions,L-Gulonate
Pentose and glucuronate interconversions,D-Altronate
Pentose and glucuronate interconversions,D-Fructuronate
Pentose and glucuronate interconversions,D-Ribitol 5-phosphate
Pentose and glucuronate interconversions,L-Ribulose 5-phosphate
Pentose and glucuronate interconversions,L-Lyxose
Pentose and glucuronate interconversions,D-Arabitol
Pentose and glucuronate interconversions,D-Xylonolactone
Pentose and glucuronate interconversions,Digalacturonate
Pentose and glucuronate interconversions,L-Glyceraldehyde
Pentose and glucuronate interconversions,"D-Xylono-1,4-lactone"
Pentose and glucuronate interconversions,beta-D-Glucuronoside
Pentose and glucuronate interconversions,L-Xylulose 5-phosphate
Pentose and glucuronate interconversions,2-Dehydro-3-deoxy-D-xylonate
Pentose and glucuronate interconversions,5-Dehydro-4-deoxy-D-glucuronate
Pentose and glucuronate interconversions,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate"
Pentose and glucuronate interconversions,"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate"
Pentose and glucuronate interconversions,D-Glucuronate 1-phosphate
Pentose and glucuronate interconversions,L-Xylonate
Pentose and glucuronate interconversions,L-Lyxonate
Pentose and glucuronate interconversions,4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate
Pentose and glucuronate interconversions,L-Xylulose 1-phosphate
Pentose and glucuronate interconversions,3-Dehydro-L-gulonate 6-phosphate
Pentose and glucuronate interconversions,L-Galactonate
Pentose and glucuronate interconversions,2-Dehydro-3-deoxy-L-galactonate
Pentose and glucuronate interconversions,"3,6-Anhydro-alpha-L-galactopyranose"
Pentose and glucuronate interconversions,"3,6-Anhydro-L-galactonate"
Pentose and glucuronate interconversions,D-Ribulose 1-phosphate
Pentose and glucuronate interconversions,4-Deoxy-L-threo-hex-4-enopyranuronate
Fructose and mannose metabolism,D-Fructose 6-phosphate
Fructose and mannose metabolism,D-Fructose
Fructose and mannose metabolism,GDP-mannose
Fructose and mannose metabolism,Glycerone phosphate
Fructose and mannose metabolism,D-Glyceraldehyde 3-phosphate
Fructose and mannose metabolism,D-Mannose
Fructose and mannose metabolism,(S)-Lactate
Fructose and mannose metabolism,L-Sorbose
Fructose and mannose metabolism,alpha-D-Glucose
Fructose and mannose metabolism,D-Mannose 6-phosphate
Fructose and mannose metabolism,GDP-L-fucose
Fructose and mannose metabolism,"D-Fructose 1,6-bisphosphate"
Fructose and mannose metabolism,Mannitol
Fructose and mannose metabolism,(S)-Lactaldehyde
Fructose and mannose metabolism,Mannan
Fructose and mannose metabolism,L-Rhamnose
Fructose and mannose metabolism,D-Glyceraldehyde
Fructose and mannose metabolism,D-Mannose 1-phosphate
Fructose and mannose metabolism,D-Mannitol 1-phosphate
Fructose and mannose metabolism,"beta-D-Fructose 2,6-bisphosphate"
Fructose and mannose metabolism,D-Sorbitol
Fructose and mannose metabolism,L-Rhamnulose
Fructose and mannose metabolism,GDP-D-mannuronate
Fructose and mannose metabolism,L-Fucose
Fructose and mannose metabolism,D-Fructose 1-phosphate
Fructose and mannose metabolism,Sorbitol 6-phosphate
Fructose and mannose metabolism,L-Fuculose 1-phosphate
Fructose and mannose metabolism,L-Rhamnulose 1-phosphate
Fructose and mannose metabolism,GDP-4-dehydro-6-deoxy-D-mannose
Fructose and mannose metabolism,Fructan
Fructose and mannose metabolism,D-Allose
Fructose and mannose metabolism,L-Fuconate
Fructose and mannose metabolism,L-Fuculose
Fructose and mannose metabolism,(Alginate)n
Fructose and mannose metabolism,L-Rhamnonate
Fructose and mannose metabolism,L-Rhamnofuranose
Fructose and mannose metabolism,"1,4-beta-D-Mannan"
Fructose and mannose metabolism,Sorbose 1-phosphate
Fructose and mannose metabolism,D-Allose 6-phosphate
Fructose and mannose metabolism,GDP-6-deoxy-D-talose
Fructose and mannose metabolism,L-Fucose 1-phosphate
Fructose and mannose metabolism,"L-Rhamnono-1,4-lactone"
Fructose and mannose metabolism,GDP-6-deoxy-D-mannose
Fructose and mannose metabolism,beta-D-Fructose 2-phosphate
Fructose and mannose metabolism,2-Dehydro-3-deoxy-L-fuconate
Fructose and mannose metabolism,2-Dehydro-3-deoxy-L-rhamnonate
Fructose and mannose metabolism,(beta-D-Mannuronate)n
Fructose and mannose metabolism,Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group
Fructose and mannose metabolism,ADP-mannose
Fructose and mannose metabolism,2-(alpha-D-Mannosyl)-3-phosphoglycerate
Fructose and mannose metabolism,2-O-(alpha-D-Mannosyl)-D-glycerate
Fructose and mannose metabolism,"L-Fucono-1,5-lactone"
Fructose and mannose metabolism,D-Allulose 6-phosphate
Fructose and mannose metabolism,"2,4-Diketo-3-deoxy-L-fuconate"
Fructose and mannose metabolism,beta-L-Fucopyranose
Galactose metabolism,UDP-glucose
Galactose metabolism,D-Glucose
Galactose metabolism,UDP-alpha-D-galactose
Galactose metabolism,D-Fructose 6-phosphate
Galactose metabolism,Sucrose
Galactose metabolism,D-Fructose
Galactose metabolism,D-Glucose 1-phosphate
Galactose metabolism,Glycerone phosphate
Galactose metabolism,Glycerol
Galactose metabolism,D-Glyceraldehyde 3-phosphate
Galactose metabolism,D-Galactose
Galactose metabolism,myo-Inositol
Galactose metabolism,D-Mannose
Galactose metabolism,Lactose
Galactose metabolism,alpha-D-Glucose
Galactose metabolism,alpha-D-Galactose 1-phosphate
Galactose metabolism,Raffinose
Galactose metabolism,D-Glyceraldehyde
Galactose metabolism,alpha-D-Glucose 6-phosphate
Galactose metabolism,D-Sorbitol
Galactose metabolism,D-Tagatose
Galactose metabolism,D-Galactonate
Galactose metabolism,alpha-D-Galactose
Galactose metabolism,D-Tagatose 6-phosphate
Galactose metabolism,D-Galactose 6-phosphate
Galactose metabolism,N-Acetyl-D-galactosamine
Galactose metabolism,2-Dehydro-3-deoxy-D-galactonate
Galactose metabolism,alpha-D-Galactosyl-(1->3)-1D-myo-inositol
Galactose metabolism,2-Dehydro-3-deoxy-6-phospho-D-galactonate
Galactose metabolism,Stachyose
Galactose metabolism,Galactitol
Galactose metabolism,D-Galactosamine
Galactose metabolism,"D-Galactono-1,5-lactone"
Galactose metabolism,"D-Galactono-1,4-lactone"
Galactose metabolism,UDP-alpha-D-galactofuranose
Galactose metabolism,"D-Tagatose 1,6-bisphosphate"
Galactose metabolism,Lactose 6'-phosphate
Galactose metabolism,Melibiitol
Galactose metabolism,Epimelibiose
Galactose metabolism,3-beta-D-Galactosyl-sn-glycerol
Galactose metabolism,Melibiose
Galactose metabolism,D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
Galactose metabolism,Galactan
Galactose metabolism,Galactitol 1-phosphate
Galactose metabolism,N-Acetyl-D-galactosamine 6-phosphate
Galactose metabolism,D-Galactosamine 6-phosphate
Ascorbate and aldarate metabolism,Pyruvate
Ascorbate and aldarate metabolism,2-Oxoglutarate
Ascorbate and aldarate metabolism,UDP-glucose
Ascorbate and aldarate metabolism,Ascorbate
Ascorbate and aldarate metabolism,GDP-mannose
Ascorbate and aldarate metabolism,myo-Inositol
Ascorbate and aldarate metabolism,UDP-glucuronate
Ascorbate and aldarate metabolism,D-Glucuronate
Ascorbate and aldarate metabolism,D-Arabinose
Ascorbate and aldarate metabolism,D-Xylulose 5-phosphate
Ascorbate and aldarate metabolism,L-Arabinose
Ascorbate and aldarate metabolism,D-Galacturonate
Ascorbate and aldarate metabolism,"2,5-Dioxopentanoate"
Ascorbate and aldarate metabolism,L-Arabinonate
Ascorbate and aldarate metabolism,D-Tagaturonate
Ascorbate and aldarate metabolism,UDP-D-galacturonate
Ascorbate and aldarate metabolism,3-Dehydro-L-gulonate
Ascorbate and aldarate metabolism,"D-Arabinono-1,4-lactone"
Ascorbate and aldarate metabolism,5-Dehydro-4-deoxy-D-glucarate
Ascorbate and aldarate metabolism,2-Dehydro-3-deoxy-L-arabinonate
Ascorbate and aldarate metabolism,L-Gulonate
Ascorbate and aldarate metabolism,D-Glucarate
Ascorbate and aldarate metabolism,D-Arabinonate
Ascorbate and aldarate metabolism,D-Galactarate
Ascorbate and aldarate metabolism,"L-Gulono-1,4-lactone"
Ascorbate and aldarate metabolism,Monodehydroascorbate
Ascorbate and aldarate metabolism,L-Ribulose 5-phosphate
Ascorbate and aldarate metabolism,"L-Arabinono-1,4-lactone"
Ascorbate and aldarate metabolism,"L-Galactono-1,4-lactone"
Ascorbate and aldarate metabolism,2-Hydroxy-3-oxopropanoate
Ascorbate and aldarate metabolism,Threonate
Ascorbate and aldarate metabolism,L-Galactose
Ascorbate and aldarate metabolism,GDP-L-galactose
Ascorbate and aldarate metabolism,D-Glucuronolactone
Ascorbate and aldarate metabolism,beta-D-Glucuronoside
Ascorbate and aldarate metabolism,3-Dehydro-L-threonate
Ascorbate and aldarate metabolism,L-xylo-Hexulonolactone
Ascorbate and aldarate metabolism,L-Xylulose 5-phosphate
Ascorbate and aldarate metabolism,2-Dehydro-3-deoxy-D-xylonate
Ascorbate and aldarate metabolism,2-Dehydro-3-deoxy-D-glucarate
Ascorbate and aldarate metabolism,1-Phospho-alpha-D-galacturonate
Ascorbate and aldarate metabolism,"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate"
Ascorbate and aldarate metabolism,D-Glucuronate 1-phosphate
Ascorbate and aldarate metabolism,L-Xylonate
Ascorbate and aldarate metabolism,L-Lyxonate
Ascorbate and aldarate metabolism,Dehydroascorbate
Ascorbate and aldarate metabolism,"Dehydro-D-arabinono-1,4-lactone"
Ascorbate and aldarate metabolism,3-Dehydro-L-gulonate 6-phosphate
Ascorbate and aldarate metabolism,L-Gulose
Ascorbate and aldarate metabolism,L-Gulose 1-phosphate
Ascorbate and aldarate metabolism,GDP-L-gulose
Ascorbate and aldarate metabolism,beta-L-Galactose 1-phosphate
Ascorbate and aldarate metabolism,L-Galactonate
Ascorbate and aldarate metabolism,L-Ascorbate 6-phosphate
Ascorbate and aldarate metabolism,"D-Galactaro-1,5-lactone"
Ascorbate and aldarate metabolism,"D-Galactaro-1,4-lactone"
Ascorbate and aldarate metabolism,"L-Galactono-1,5-lactone"
Fatty acid biosynthesis,Acetyl-CoA
Fatty acid biosynthesis,Malonyl-CoA
Fatty acid biosynthesis,Palmitoyl-CoA
Fatty acid biosynthesis,Acyl-[acyl-carrier protein]
Fatty acid biosynthesis,Acyl-carrier protein
Fatty acid biosynthesis,Hexadecanoic acid
Fatty acid biosynthesis,Malonate
Fatty acid biosynthesis,Long-chain fatty acid
Fatty acid biosynthesis,3-Oxoacyl-[acyl-carrier protein]
Fatty acid biosynthesis,"trans-2,3-Dehydroacyl-[acyl-carrier protein]"
Fatty acid biosynthesis,(9Z)-Octadecenoic acid
Fatty acid biosynthesis,Oleoyl-[acyl-carrier protein]
Fatty acid biosynthesis,Malonyl-[acyl-carrier protein]
Fatty acid biosynthesis,(3R)-3-Hydroxyacyl-[acyl-carrier protein]
Fatty acid biosynthesis,Octadecanoic acid
Fatty acid biosynthesis,Decanoic acid
Fatty acid biosynthesis,Dodecanoic acid
Fatty acid biosynthesis,Long-chain acyl-CoA
Fatty acid biosynthesis,Acetyl-[acyl-carrier protein]
Fatty acid biosynthesis,Octadecanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,cis-Dec-3-enoyl-[acp]
Fatty acid biosynthesis,But-2-enoyl-[acyl-carrier protein]
Fatty acid biosynthesis,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]
Fatty acid biosynthesis,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,Dodecanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,Acetoacetyl-[acp]
Fatty acid biosynthesis,Butyryl-[acp]
Fatty acid biosynthesis,3-Oxohexanoyl-[acp]
Fatty acid biosynthesis,(3R)-3-Hydroxyhexanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,trans-Hex-2-enoyl-[acp]
Fatty acid biosynthesis,Hexanoyl-[acp]
Fatty acid biosynthesis,3-Oxooctanoyl-[acp]
Fatty acid biosynthesis,trans-Oct-2-enoyl-[acp]
Fatty acid biosynthesis,Octanoyl-[acp]
Fatty acid biosynthesis,3-Oxodecanoyl-[acp]
Fatty acid biosynthesis,trans-Dec-2-enoyl-[acp]
Fatty acid biosynthesis,Decanoyl-[acp]
Fatty acid biosynthesis,3-Oxododecanoyl-[acp]
Fatty acid biosynthesis,(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein]
Fatty acid biosynthesis,trans-Dodec-2-enoyl-[acp]
Fatty acid biosynthesis,3-Oxotetradecanoyl-[acp]
Fatty acid biosynthesis,trans-Tetradec-2-enoyl-[acp]
Fatty acid biosynthesis,Tetradecanoyl-[acp]
Fatty acid biosynthesis,3-Oxohexadecanoyl-[acp]
Fatty acid biosynthesis,trans-Hexadec-2-enoyl-[acp]
Fatty acid biosynthesis,Hexadecanoyl-[acp]
Fatty acid biosynthesis,Octanoic acid
Fatty acid biosynthesis,Tetradecanoic acid
